,TK_PLCS/FPIX/crate02/module06/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_08.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_08.value.converted:_original.._value,
,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,
"2017/12/22 01:31:10.801",,,,,,,,,,,,,,,22.53,,
"2017/12/22 01:48:00.805",,,,,,,,,,,,22.44,,,,,
"2017/12/22 02:23:15.784",,,,,,,,,,,,,,22.29,,,
"2017/12/22 02:36:45.786",,,,,,,,,,,22.36,,,,,,
"2017/12/22 02:51:05.785",,,,,,,,,,22.36,,,,,,,
"2017/12/22 03:47:13.295",22.51,,,,,,,,,,,,,,,,
"2017/12/22 03:47:30.792",,,,22.27,,,,,,,,,,,,,
"2017/12/22 04:16:00.804",,,,,,,,,,,,,,,,22.19,
"2017/12/22 04:24:33.279",,,,,,,,,,,,,22.29,,,,
"2017/12/22 04:32:18.295",,,,,,,,22.44,,,,,,,,,
"2017/12/22 04:55:15.783",,,,,,,22.34,,,,,,,,,,
"2017/12/22 05:34:43.282",,22.22,,,,,,,,,,,,,,,
"2017/12/22 05:35:58.283",,,,,,22.14,,,,,,,,,,,
"2017/12/22 07:12:35.788",,,,,,,,,22.24,,,,,,,,
"2017/12/22 08:01:35.776",,,22,,,,,,,,,,,,,,
"2017/12/22 08:35:53.289",,,,,22.07,,,,,,,,,,,,
"2017/12/22 08:55:53.286",,,,,,,,,,,,,,,22.02,,
"2017/12/22 09:09:45.789",,,,,,,,,,,,21.92,,,,,
"2017/12/22 09:48:53.284",,,,,,,,,,,,,,21.78,,,
"2017/12/22 10:46:35.789",,,,,,,,,,,,,,22.29,,,
"2017/12/22 10:50:15.793",,,,,,,,,,,,22.44,,,22.53,,
"2017/12/22 10:58:40.787",,,,,,,,,22.75,,,,,,,,
"2017/12/22 11:05:55.789",,,22.51,,,,,,,,,,,,,,
"2017/12/22 11:06:30.793",,22.73,,,,,,,,,,,,,,,
"2017/12/22 11:06:58.288",,,,,,,,,,,,,,,,22.7,
"2017/12/22 11:08:58.278",,,,,,,,,,,,,22.8,,,,
"2017/12/22 11:14:38.288",,,,,,,,,,,22.88,,,,,,
"2017/12/22 11:16:20.870",,,,,,,,,,,,,,22.8,,,
"2017/12/22 11:17:15.783",23.02,,,,,,,,,,,,,,,,
"2017/12/22 11:17:48.279",,,,,22.58,,,,,,,,,,,,
"2017/12/22 11:19:00.799",,,,,,,,,,,,,,,23.05,,
"2017/12/22 11:19:45.784",,,,,,,,,,,,22.95,,,,,
"2017/12/22 11:23:05.790",,,,,,,,,,22.88,,,,,,,
"2017/12/22 11:30:30.787",,,,22.78,,,,,,,,,,,,,
"2017/12/22 11:34:30.792",,,,,,,,,,,,,,,,23.22,
"2017/12/22 11:36:08.285",,,,,,22.66,,,,,,,,,,,
"2017/12/22 11:41:48.277",,,,,,,,,23.27,,,,,,,,
"2017/12/22 11:43:40.795",,,,,,,,,,,,,23.32,,,,
"2017/12/22 13:05:13.282",,,,,,,22.85,,,,,,,,,,
"2017/12/22 13:34:20.871",,,,,,,,22.95,,,,,,,,,
"2017/12/22 14:00:55.790",,,,,,,,,,,,,,,,22.7,
"2017/12/22 14:06:30.801",,,,,,,,,,,,,22.8,,,,
"2017/12/22 14:33:25.793",,,,,,,,,22.75,,,,,,,,
"2017/12/22 16:00:35.784",,,,,,,,,,,,,,,22.53,,
"2017/12/22 16:01:10.786",,,,,,,,,,,,22.44,,,,,
"2017/12/22 16:01:38.281",,,,,,,,,,,,,,,,22.19,
"2017/12/22 16:03:23.284",,,,,,,,,,,22.36,,,,,,
"2017/12/22 16:04:40.792",,,,,,,,,,,,,,22.29,,,
"2017/12/22 16:04:48.282",,,,,,,,,,,,,22.29,,,,
"2017/12/22 16:05:30.794",,,,,,,,,,22.36,,,,,,,
"2017/12/22 16:05:40.785",22.51,,,,,,,,,,,,,,,,
"2017/12/22 16:08:10.797",,22.22,,,,,,,,,,,,,,,
"2017/12/22 16:08:40.797",,,,22.27,,,,,,,,,,,,,
"2017/12/22 16:17:10.871",,,,,,,,,,,,,,,22.02,,
"2017/12/22 16:19:15.782",,,,,,,,,,,,21.92,,,,,
"2017/12/22 16:20:03.288",,,,,,,,,22.24,,,,,,,,
"2017/12/22 16:25:23.279",,,,,,,,,,,,,,21.78,,,
"2017/12/22 16:26:45.787",,,,,,,,,,,21.85,,,,,,
"2017/12/22 16:28:18.280",,,,,,,22.34,,,,,,,,,,
"2017/12/22 16:29:23.286",,,,,,,,22.44,,,,,,,,,
"2017/12/22 16:33:18.288",,,,,,22.14,,,,,,,,,,,
"2017/12/22 16:47:10.803",,,22,,,,,,,,,,,,,,
